Dog_id,Walker_id,date_and_time,length,status,rating
1,1,2019-10-28 12:30,30,Upcoming,
2,1,2019-10-01 12:30,60,Complete,4.8
3,2,2019-12-13 10:00,30,Upcoming,
4,12,2019-09-18 21:00,60,Complete,5
5,4,2019-10-18 20:00,30,Upcoming,
6,5,2019-09-24 20:00,60,Complete,5
7,8,2019-10-14 14:30,30,Upcoming,
8,6,2019-10-26 16:30,60,Upcoming,
9,7,2019-09-28 17:30,30,Complete,1.6
10,10,2019-10-19 14:00,60,Upcoming,
11,12,2019-10-21 15:00,30,Upcoming,
12,11,2019-10-27 07:30,60,Upcoming,
13,9,2019-10-23 20:00,60,Upcoming,
14,1,2019-09-23 20:00,30,Complete,3.7
15,13,2019-09-21 08:30,60,Complete,3.3
16,15,2019-10-31 10:00,60,Upcoming,
17,17,2019-10-11 12:30,30,Upcoming,
18,12,2019-10-01 07:30,30,Complete,4.5
19,19,2019-10-11 13:00,60,Upcoming,
2,8,2019-09-19 09:30,30,Complete,5
18,4,2019-09-20 09:30,30,Complete,4.3
4,4,2019-10-01 09:30,60,Complete,3.5
2,10,2019-09-22 09:30,60,Complete,5
4,12,2019-09-23 09:30,30,Upcoming,
7,2,2019-10-04 11:30,30,Upcoming,
18,7,2019-10-04 17:30,60,Upcoming,
5,3,2019-10-05 11:30,30,Upcoming,
5,11,2019-10-06 13:30,60,Upcoming,
19,5,2019-10-04 16:30,30,Upcoming,
18,12,2019-10-05 11:30,60,Upcoming,
1,1,2019-10-04 17:30,60,Upcoming,
1,5,2019-09-05 11:30,60,Complete,
1,12,2019-10-04 15:30,30,Upcoming,
1,14,2019-10-05 13:30,60,Upcoming,
1,3,2019-10-06 14:30,60,Upcoming,
